B_STREET|U_CITY|REGION_STATE|POST_CODE|TYPE|NAME
Ap #283-1814 Lorem Rd.|Seongnam|Gye|3520|LIVING|Edward Walker
738-4252 Ornare Rd.|Maple Ridge|British Columbia|7029|SHIPPING|Anne Kretchmar
P.O. Box 728, 4431 Condimentum. Ave|San Damiano al Colle|Lombardia|51728|BILLING|Anne Kretchmar
4915 Diam. Rd.|Townsville|QLD|82868|LIVING|Sally Thomas
P.O. Box 327, 5540 Cubilia Ave|Penticton|BC|07071|SHIPPING|Sally Thomas
P.O. Box 808, 6685 Ante. Rd.|Częstochowa|SL|41909|BILLING|George Bailey
2386 Ut St.|Bonnyrigg|ML|1021 KO|LIVING|George Bailey
882-550 Lectus. Rd.|San Diego|Cartago|467453|SHIPPING|Edward Walker
8513 Libero. Av.|Las Vegas|Nevada|M9V 4H4|BILLING|Edward Walker
P.O. Box 191, 8994 Neque Rd.|Dutse|Jigawa|024305|LIVING|Anne Kretchmar
568-8683 Eget Street|Jasper|Alberta|21436|SHIPPING|Anne Kretchmar
5199 Diam. Avenue|Cartagena|BOL|09458|BILLING|Sally Thomas
8298 Orci Ave|Vienna|Vienna|660461|LIVING|Sally Thomas
3856 Lorem Rd.|Dublin|L|777374|SHIPPING|George Bailey
2415 Sit Av.|Ensenada|Baja California|296698|BILLING|George Bailey
Ap #823-4834 Pharetra St.|Ulyanovsk|ULY|588523|LIVING|Edward Walker
Ap #718-9392 Mattis Rd.|Lima|LIM|7798|SHIPPING|Edward Walker
476-4491 Ultrices Street|Swan Hills|AB|60193|BILLING|Anne Kretchmar
P.O. Box 110, 1851 Donec St.|Pozzuolo del Friuli|FVG|Z2640|LIVING|Anne Kretchmar
9885 Aliquam Rd.|Hamburg|HH|994470|SHIPPING|Sally Thomas
Ap #371-9519 Dis Road|Södertälje|Stockholms län|12932|BILLING|Sally Thomas
P.O. Box 517, 3261 Rhoncus St.|Palopo|South Sulawesi|76180-10222|LIVING|George Bailey
P.O. Box 803, 572 Laoreet St.|Sibi|Balochistan|29912|SHIPPING|George Bailey
Ap #133-2360 Aliquam, Rd.|San José de Alajuela|A|383489|BILLING|Edward Walker
716-3757 Vel, Street|Montpellier|Quebec|Z9142|LIVING|Edward Walker
9752 Sit St.|LaSalle|QC|742196|SHIPPING|Anne Kretchmar
P.O. Box 846, 8436 Eu Rd.|Latur|Maharastra|437258|BILLING|Anne Kretchmar
7852 Ante Ave|Llangefni|AG|99366|LIVING|Sally Thomas
123-2119 Et, Road|Belfast|U|06694|SHIPPING|Sally Thomas
1785 Ullamcorper, St.|Magadan|Magadan Oblast|NM0E 8WR|BILLING|George Bailey
946-1555 Hymenaeos. Rd.|Heredia|H|06779|LIVING|George Bailey
488-9357 Vitae Street|Providencia|Metropolitana de Santiago|41585-276|SHIPPING|Edward Walker
P.O. Box 951, 427 Rutrum St.|Upper Hutt|North Island|41700|BILLING|Edward Walker
6135 Amet Ave|Sierning|Upper Austria|86628-838|LIVING|Anne Kretchmar
Ap #900-3945 Donec Rd.|East Linton|East Lothian|71108|SHIPPING|Anne Kretchmar
190 Dolor Ave|Novosibirsk|NVS|659151|BILLING|Sally Thomas
7296 Risus Road|Carapicuíba|São Paulo|1668 SG|LIVING|Sally Thomas
7179 Ligula. Rd.|Dublin|L|14670|SHIPPING|George Bailey
447 Nec St.|Harbour Grace|Newfoundland and Labrador|9653 PJ|BILLING|George Bailey
5400 Aliquam St.|Waterbury|Connecticut|51538|LIVING|Edward Walker
1270 Ac Av.|North Battleford|Saskatchewan|XR3B 0CR|SHIPPING|Edward Walker
Ap #384-6747 Arcu. Ave|Oteppe|Luik|43519|BILLING|Anne Kretchmar
5029 Dignissim Ave|Puerto Varas|Los Lagos|09301|LIVING|Anne Kretchmar
Ap #871-1529 Commodo Road|Irkutsk|IRK|23007|SHIPPING|Sally Thomas
6925 Lacus, Av.|Barranquilla|Atlántico|Z4789|BILLING|Sally Thomas
2798 Sed St.|Vienna|Wie|56120|LIVING|George Bailey
626-5124 Vel St.|Alençon|Basse-Normandie|41507|SHIPPING|George Bailey
